,release_date,neutro,positi,negati
0,1989,0,2,0
1,1990,1,4,0
2,1991,0,1,0
3,1992,4,2,0
4,1993,1,2,3
5,1994,4,6,1
6,1995,5,8,2
7,1996,3,2,0
8,1997,21,21,7
9,1998,30,50,12
10,1999,31,15,7
11,2000,52,30,9
12,2001,9,17,6
13,2002,16,24,8
14,2003,206,162,68
15,2004,222,243,40
16,2005,132,144,30
17,2006,1606,1684,436
18,2007,3246,3601,569
19,2008,202,269,70
20,2009,905,1002,274
21,2010,1207,1480,327
22,2011,3509,4553,1013
23,2012,5991,7067,1895
24,2013,7279,9176,2762
25,2014,5704,7016,2376
26,2015,5375,5944,1920
27,2016,1347,2078,481
28,2017,3242,3542,984
